Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	8	3.2388663967611335	0.0017570691763756107	ENSDARG00000096249, ENSDARG00000007362, ENSDARG00000097660, ENSDARG00000004173, ENSDARG00000026967, ENSDARG00000104230, ENSDARG00000008142, ENSDARG00000005254	165	157	14912	4.605134143987647	0.4303634098148743	0.4303634098148743	2.345219607820992
GOTERM_BP_DIRECT	GO:0015031~protein transport	7	2.834008097165992	0.020439446582474992	ENSDARG00000059079, ENSDARG00000096249, ENSDARG00000004173, ENSDARG00000026967, ENSDARG00000104230, ENSDARG00000044980, ENSDARG00000005254	165	194	14912	3.260980943455171	0.9986509994377905	0.9632712570020481	24.321595417982522
GOTERM_BP_DIRECT	GO:0044805~late nucleophagy	2	0.8097165991902834	0.021875484816148663	ENSDARG00000055292, ENSDARG00000044551	165	2	14912	90.37575757575758	0.9991564204002082	0.9055122828953246	25.805101177699484
GOTERM_BP_DIRECT	GO:0034727~piecemeal microautophagy of nucleus	2	0.8097165991902834	0.021875484816148663	ENSDARG00000055292, ENSDARG00000044551	165	2	14912	90.37575757575758	0.9991564204002082	0.9055122828953246	25.805101177699484
GOTERM_BP_DIRECT	GO:0006888~ER to Golgi vesicle-mediated transport	4	1.6194331983805668	0.028306910838578215	ENSDARG00000097660, ENSDARG00000004173, ENSDARG00000104230, ENSDARG00000040505	165	60	14912	6.025050505050506	0.999897831628793	0.8994622602295542	32.124665865997926
GOTERM_BP_DIRECT	GO:0010506~regulation of autophagy	3	1.214574898785425	0.028318927093055703	ENSDARG00000088571, ENSDARG00000103422, ENSDARG00000097245	165	24	14912	11.296969696969697	0.9998982351349033	0.8409551641443659	32.135991807691276
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	4	1.6194331983805668	0.03610533254511708	ENSDARG00000022891, ENSDARG00000076829, ENSDARG00000020218, ENSDARG00000026035	165	66	14912	5.477318640955004	0.9999922470882037	0.8593161837980564	39.11818567312854
GOTERM_BP_DIRECT	GO:0045214~sarcomere organization	3	1.214574898785425	0.04539499532685233	ENSDARG00000068457, ENSDARG00000000563, ENSDARG00000059701	165	31	14912	8.746041055718475	0.9999996503880999	0.8804209297441108	46.5765928432178
GOTERM_BP_DIRECT	GO:0005980~glycogen catabolic process	2	0.8097165991902834	0.06420968868058406	ENSDARG00000013317, ENSDARG00000100352	165	6	14912	30.125252525252524	0.9999999994014035	0.9296698122293124	59.161509462668405
GOTERM_BP_DIRECT	GO:0048741~skeletal muscle fiber development	3	1.214574898785425	0.0683667359020349	ENSDARG00000012944, ENSDARG00000099517, ENSDARG00000056743	165	39	14912	6.951981351981352	0.999999999855989	0.9193715306030639	61.542828311754484
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	4	1.6194331983805668	0.07097336571509967	ENSDARG00000022891, ENSDARG00000059871, ENSDARG00000099139, ENSDARG00000026035	165	87	14912	4.155207244862417	0.9999999999412493	0.905179710042514	62.96972179800518
GOTERM_BP_DIRECT	GO:0030241~skeletal muscle myosin thick filament assembly	2	0.8097165991902834	0.0745055166061214	ENSDARG00000040237, ENSDARG00000000563	165	7	14912	25.821645021645022	0.9999999999826369	0.8948560536644546	64.82511732228205
GOTERM_BP_DIRECT	GO:0030903~notochord development	3	1.214574898785425	0.08100645109714831	ENSDARG00000045958, ENSDARG00000004173, ENSDARG00000039576	165	43	14912	6.3052854122621556	0.9999999999981803	0.894884763044922	68.01686254712666
GOTERM_BP_DIRECT	GO:0034497~protein localization to pre-autophagosomal structure	2	0.8097165991902834	0.08468875010481865	ENSDARG00000055292, ENSDARG00000044551	165	8	14912	22.593939393939394	0.9999999999994965	0.8867596413752278	69.70358371566074
GOTERM_BP_DIRECT	GO:0016567~protein ubiquitination	6	2.42914979757085	0.08901945712526538	ENSDARG00000076829, ENSDARG00000001882, ENSDARG00000021343, ENSDARG00000039066, ENSDARG00000099139, ENSDARG00000102490	165	215	14912	2.5221141649048624	0.9999999999998896	0.881288240456974	71.58179063129468
GOTERM_BP_DIRECT	GO:0007519~skeletal muscle tissue development	3	1.214574898785425	0.09771542121587198	ENSDARG00000039066, ENSDARG00000000563, ENSDARG00000076312	165	48	14912	5.648484848484848	0.9999999999999949	0.8884861675074122	75.03195198791907
