Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006955~immune response	20	10.471204188481675	9.607362051151151E-8	C7, C9, CCL19, CHST4, CXCL6, IL7R, CCL5, CXCL12, CFP, FCGR2B, CXCL14, CCL21, CXCL13, HAMP, IGHD, IL1RAP, THBS1, IGKC, IGLC1, DEFB1	177	421	16792	4.506891044996443	1.221981843444464E-4	1.221981843444464E-4	1.564451089564045E-4
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	11	5.7591623036649215	3.0176548532643157E-6	CFP, HAMP, CXCL13, IGHD, CXCL6, STAB2, IGKC, DEFB1, IGLL5, IGLC1, PLAC8	177	145	16792	7.197038768751218	0.0038311052834960613	0.0019173908355561986	0.004913802557582336
GOTERM_BP_DIRECT	GO:0060326~cell chemotaxis	8	4.18848167539267	5.144809270949237E-6	CXCL14, CCL21, PDGFRA, CCL19, CXCL6, HGF, CCL5, CXCL12	177	65	16792	11.67631464580617	0.00652284749199783	0.0021790272081166906	0.008377421288741083
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	17	8.900523560209423	2.7279613929514638E-5	SVEP1, CLDN10, CHST4, STAB2, CXCL12, EPHA3, LAMA2, ITGA9, LYVE1, SRPX, FREM2, ITGB8, CNTN3, THBS1, MFAP4, DPT, HABP2	177	459	16792	3.513705796191672	0.03410499603423478	0.008637516007860224	0.04441256301156438
GOTERM_BP_DIRECT	GO:0006956~complement activation	8	4.18848167539267	3.5589394465305514E-5	CFP, C7, FCN3, FCN2, C6, COLEC11, IGKC, IGLC1	177	87	16792	8.72368335606208	0.04426109517446475	0.009013238101652332	0.05793761831629496
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	11	5.7591623036649215	4.228352695124704E-5	LAMA2, ITGA9, BGN, COL14A1, CRISPLD2, ITGB8, LUM, FBLN5, DCN, THBS1, ABI3BP	177	196	16792	5.324339905453707	0.052364916089270186	0.008924237714766914	0.06883178463593653
GOTERM_BP_DIRECT	GO:0006958~complement activation, classical pathway	8	4.18848167539267	8.160991178193298E-5	C7, C9, IGHD, C6, IGKC, IGHM, IGLL5, IGLC1	177	99	16792	7.66626719169092	0.09860529585777977	0.014720864817618473	0.13280983264187807
GOTERM_BP_DIRECT	GO:0030324~lung development	7	3.664921465968586	1.4499451664777023E-4	FGFR2, GPC3, CRISPLD2, CCBE1, ZFPM2, CYP1A2, ADAMTS2	177	76	16792	8.738031519476658	0.16843548723967405	0.022792045629103086	0.23584603541891846
GOTERM_BP_DIRECT	GO:0050871~positive regulation of B cell activation	5	2.6178010471204187	1.455950565924132E-4	IGHD, IGKC, IGHM, IGLL5, IGLC1	177	26	16792	18.244241634072143	0.16907055808278781	0.02036863162109781	0.2368217786714033
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	18	9.424083769633508	1.666613061147983E-4	STEAP4, CYP2B6, CYP2C8, CYP26A1, KMO, STAB2, CYP1A2, TDO2, CYP39A1, PTGIS, AKR1B10, RRM2, CYP2A6, HHIP, RDH16, HPGD, AKR1D1, BCO2	177	592	16792	2.8845625286303256	0.1910440787397334	0.020977921769403274	0.2710440604637987
