Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005576~extracellular region	60	31.413612565445025	1.1939976660231297E-19	CNDP1, CRP, DNASE1L3, CXCL12, CFP, HAMP, APOF, RSPO3, IL1RAP, CETP, HHIP, IL13RA2, GHR, F9, COLEC11, CLEC4M, GZMK, BGN, PTGDS, PLA2G2A, MFAP4, ADAMTS2, FGFR2, C7, C9, C6, LUM, DCN, IL33, CXCL6, CCL5, IL7R, CRISPLD2, BCHE, FCN3, CCL21, FCN2, IGKC, THBS1, DEFB1, HGFAC, SPP2, SVEP1, FETUB, EFEMP1, CCL19, IGF1, CD5L, HGF, ECM1, EPHA3, LAMA2, AFM, COL14A1, CXCL14, CXCL13, FBLN5, IGLC1, IGFBP3, HABP2	182	1610	18224	3.7316224148522283	2.328295448745103E-17	2.328295448745103E-17	1.4903465634881644E-16
GOTERM_CC_DIRECT	GO:0005615~extracellular space	45	23.56020942408377	1.117115093285686E-12	LUM, CRHBP, CRP, IL33, DCN, CXCL6, IGHM, CCL5, CXCL12, ABI3BP, CFP, PTGIS, GPC3, HAMP, CCL21, CCBE1, CETP, IGKC, THBS1, DEFB1, HGFAC, GHR, DPT, IL13RA2, FETUB, EFEMP1, F9, CCL19, IGF1, CD5L, HGF, PIGR, ECM1, PROM1, AFM, COL14A1, PTGDS, CXCL14, TACSTD2, CXCL13, FBLN5, PLA2G2A, IGLC1, IGFBP3, HABP2	182	1347	18224	3.345162632467755	2.1783574943867734E-10	1.0891787471933867E-10	1.3943735055477191E-9
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	62	32.460732984293195	7.347099215927401E-10	STEAP4, CRP, IGHM, CXCL12, EPCAM, PRKAR2B, GPC3, PGLYRP2, VNN1, CETP, IGLL5, CDHR2, LIFR, FBP1, F9, CFTR, BASP1, PIGR, TMEM27, BGN, PTGDS, TACSTD2, AKR1B10, IGHD, HAO2, PLA2G2A, VSIG4, MFAP4, AKR1D1, SMIM24, C7, C9, C6, LUM, ALDOB, KMO, CLDN11, GPM6A, CRISPLD2, ITGB8, FCN2, IGKC, THBS1, DEFB1, SPP2, DPT, FETUB, EFEMP1, CD5L, RACGAP1, MAN1C1, ECM1, LAMA2, PROM1, LYVE1, AFM, COL14A1, FREM2, FBLN5, IGLC1, IGFBP3, HPGD	182	2811	18224	2.2085292864375043	1.432684318958266E-7	4.7756146259736454E-8	9.170641579459016E-7
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	16	8.37696335078534	2.794832183213885E-7	FGFR2, ASPN, LUM, EFEMP1, DCN, ECM1, ABI3BP, CFP, LAMA2, COL14A1, BGN, FBLN5, THBS1, MFAP4, TFPI2, DPT	182	296	18224	5.412533412533413	5.449775013699476E-5	1.362471598098658E-5	3.488500836645869E-4
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	11	5.7591623036649215	2.8882394501797924E-6	AFM, C9, BCHE, FCN3, FCN2, IGHD, CD5L, IGKC, IGHM, IGLL5, IGLC1	182	152	18224	7.246385193753614	5.630489345442857E-4	1.126351574084472E-4	0.0036050375039731186
GOTERM_CC_DIRECT	GO:0005578~proteinaceous extracellular matrix	14	7.329842931937172	2.8906986800649115E-6	ASPN, LUM, EFEMP1, ECM1, GPC3, COL14A1, BGN, CCL21, CRISPLD2, FBLN5, CCBE1, ADAMTS2, TFPI2, DPT	182	268	18224	5.230769230769231	5.635282156406518E-4	9.394342993007676E-5	0.0036081070102111923
GOTERM_CC_DIRECT	GO:0031090~organelle membrane	7	3.664921465968586	2.2919123168905106E-4	CYP39A1, CYP2B6, CYP2C8, CYP26A1, CYP2A6, CYP1A2, RDH16	182	87	18224	8.056587091069849	0.04371320151172142	0.006365001652149926	0.2857001276647897
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	10	5.2356020942408374	2.831009366559596E-4	CD69, IGHD, STAB2, THBS1, IGKC, IL7R, IGHM, CXCL12, IGLL5, IGLC1	182	213	18224	4.701026672857658	0.05371595723129574	0.006877801209696499	0.35279252363675795
GOTERM_CC_DIRECT	GO:0042571~immunoglobulin complex, circulating	4	2.094240837696335	8.30507751756044E-4	IGHD, IGKC, IGLL5, IGLC1	182	19	18224	21.080393290919606	0.14957265652200102	0.017840746312417277	1.031710537345909
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	27	14.136125654450263	0.001685333483747531	KCNJ16, FGFR2, STEAP4, C9, MFSD2A, EPCAM, MARCO, GPC3, LY6E, CD69, IL1RAP, HHIP, GHR, SLC22A1, LIFR, PIGR, NPY1R, STAB2, CLEC4M, EPHA3, PROM1, P2RY13, SLCO1B3, LYVE1, TACSTD2, PDGFRA, CLEC1B	182	1415	18224	1.9106434201840563	0.28029744824858394	0.0323566769110194	2.083397097897366
GOTERM_CC_DIRECT	GO:0005579~membrane attack complex	3	1.5706806282722512	0.0019937091648942274	C7, C9, C6	182	7	18224	42.913657770800626	0.3223750759384556	0.034759807877493665	2.460259475268256
GOTERM_CC_DIRECT	GO:0005581~collagen trimer	6	3.1413612565445024	0.002239684739252612	MARCO, COL14A1, FCN3, FCN2, CCBE1, COLEC11	182	92	18224	6.5303392259914	0.3541760489540918	0.035779903437098026	2.7599062971762067
GOTERM_CC_DIRECT	GO:0005796~Golgi lumen	6	3.1413612565445024	0.0026968070412482018	BGN, GPC3, LUM, F9, DCN, DEFB1	182	96	18224	6.258241758241758	0.40938312969401547	0.03969731721304404	3.314523553688886
GOTERM_CC_DIRECT	GO:0009986~cell surface	13	6.806282722513089	0.008055735890246274	FGFR2, CFTR, IGHM, HMMR, PROM1, EPCAM, SRPX, BGN, ANK3, ITGB8, HHIP, THBS1, GHR	182	542	18224	2.401686874011597	0.7934535467235773	0.10654497479813074	9.602972703363367
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	7	3.664921465968586	0.009245659015334442	KCNJ16, EPCAM, SLCO1B3, ANK3, CFTR, HPGD, SLC22A1	182	180	18224	3.8940170940170944	0.8365568007932322	0.11374685306425214	10.947225374554936
GOTERM_CC_DIRECT	GO:0016942~insulin-like growth factor binding protein complex	2	1.0471204188481675	0.02950252474768907	IGF1, IGFBP3	182	3	18224	66.75457875457876	0.9970898864684729	0.3057843966130961	31.187970219303363
GOTERM_CC_DIRECT	GO:0009925~basal plasma membrane	3	1.5706806282722512	0.035574419669049714	ITGA9, TACSTD2, ANK3	182	30	18224	10.013186813186813	0.9991441441896699	0.33998625999790155	36.37286761979195
GOTERM_CC_DIRECT	GO:0071953~elastic fiber	2	1.0471204188481675	0.039143051777215956	FBLN5, MFAP4	182	4	18224	50.06593406593407	0.9995846125956007	0.35116197190096987	39.24996641619624
GOTERM_CC_DIRECT	GO:0042567~insulin-like growth factor ternary complex	2	1.0471204188481675	0.039143051777215956	IGF1, IGFBP3	182	4	18224	50.06593406593407	0.9995846125956007	0.35116197190096987	39.24996641619624
GOTERM_CC_DIRECT	GO:0043202~lysosomal lumen	4	2.094240837696335	0.052688973913376944	BGN, GPC3, LUM, DCN	182	85	18224	4.712087912087913	0.9999739351345733	0.42622745626158987	49.11605238131098
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	51	26.701570680628272	0.06532276716862005	KCNJ16, STEAP4, MFSD2A, IGHM, EPCAM, MARCO, PRKAR2B, GPC3, ANK3, CLEC4G, IL1RAP, VNN1, GHR, SLC22A1, ESR1, LIFR, F9, CFTR, PIGR, BASP1, STXBP6, IGHD, PDGFRA, PLA2G2A, MCC, CNTN3, CLEC1B, FGFR2, C9, CLDN10, CLDN11, IL7R, HMMR, GPM6A, ITGB8, IGKC, CAP2, IGF1, NPY1R, GAS1, STAB2, EPHA3, PROM1, ITGA9, P2RY13, SLCO1B3, LYVE1, FCGR2B, FREM2, CDH19, IGLC1	182	4121	18224	1.2391956502609256	0.9999980988144441	0.4824512961134839	56.967238468169015
GOTERM_CC_DIRECT	GO:0097431~mitotic spindle pole	2	1.0471204188481675	0.09501858115661078	FAM83D, ASPM	182	10	18224	20.026373626373626	0.9999999964946277	0.6042979565500968	71.24080366529822
GOTERM_CC_DIRECT	GO:0016328~lateral plasma membrane	3	1.5706806282722512	0.09735054865616473	EPCAM, TACSTD2, ANK3	182	53	18224	5.667841592369895	0.9999999978805221	0.5965983438979658	72.15224559589956
