Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	7	3.664921466	9.02E-06	"CXCL14, CXCL13, CCL21, CCL19, CXCL6, CCL5, CXCL12"	170	49	16881	14.18571429	0.003277312	0.003277312	0.012405393
GOTERM_MF_DIRECT	GO:0005518~collagen binding	7	3.664921466	2.95E-05	"ASPN, ITGA9, COL14A1, LUM, CCBE1, DCN, ABI3BP"	170	60	16881	11.585	0.010674225	0.005351431	0.040549322
GOTERM_MF_DIRECT	GO:0042379~chemokine receptor binding	4	2.094240838	5.32E-05	"CCL21, CCL19, CCL5, CXCL12"	170	8	16881	49.65	0.019179399	0.006434446	0.073161324
GOTERM_MF_DIRECT	GO:0003823~antigen binding	8	4.188481675	7.87E-05	"FCN3, FCN2, IGHD, IGKC, IL7R, IGHM, IGLL5, IGLC1"	170	103	16881	7.712621359	0.028245219	0.007137354	0.108224024
GOTERM_MF_DIRECT	GO:0034987~immunoglobulin receptor binding	5	2.617801047	1.22E-04	"IGHD, IGKC, IGHM, IGLL5, IGLC1"	170	26	16881	19.09615385	0.043445405	0.008844141	0.167724249
GOTERM_MF_DIRECT	GO:0020037~heme binding	8	4.188481675	4.60E-04	"TDO2, CYP39A1, PTGIS, CYP2B6, CYP2C8, CYP26A1, CYP2A6, CYP1A2"	170	137	16881	5.798540146	0.154223922	0.023644642	0.631029453
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	18	9.42408377	8.73E-04	"ASPN, SVEP1, ANXA10, CD69, FBLN5, CDH19, CDHR2, CCBE1, CRP, EFEMP1, PLA2G2A, F9, OIT3, STAB2, THBS1, DNASE1L3, MAN1C1, HABP2"	170	717	16881	2.492887029	0.272306344	0.038955332	1.194146292
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	10	5.235602094	0.001091831	"GZMK, FCN3, FCN2, F9, COLEC11, HGF, IGKC, IGLC1, HGFAC, HABP2"	170	255	16881	3.894117647	0.328098641	0.043220802	1.491564335
GOTERM_MF_DIRECT	GO:0019825~oxygen binding	5	2.617801047	0.001236368	"TDO2, CYP2B6, CYP2C8, CYP26A1, CYP1A2"	170	47	16881	10.56382979	0.362573519	0.044032759	1.687463684
GOTERM_MF_DIRECT	GO:0005540~hyaluronic acid binding	4	2.094240838	0.001506549	"LYVE1, STAB2, HABP2, HMMR"	170	23	16881	17.26956522	0.422355888	0.048666568	2.052688616
GOTERM_MF_DIRECT	GO:0004860~protein kinase inhibitor activity	5	2.617801047	0.001805269	"ASPN, BGN, SOCS2, SOCS3, DCN"	170	52	16881	9.548076923	0.481964604	0.053334349	2.455026842
